year,site,strength_gtex,mean_dayl.s_Jan,mean_srad.wm2_Jan,mean_tmax.c_Jan,mean_tmin.c_Jan,mean_vp.pa_Jan,sum_prcp.mm_Jan,mean_dayl.s_Feb,mean_srad.wm2_Feb,mean_tmax.c_Feb,mean_tmin.c_Feb,mean_vp.pa_Feb,sum_prcp.mm_Feb,mean_dayl.s_Mar,mean_srad.wm2_Mar,mean_tmax.c_Mar,mean_tmin.c_Mar,mean_vp.pa_Mar,sum_prcp.mm_Mar,mean_dayl.s_Apr,mean_srad.wm2_Apr,mean_tmax.c_Apr,mean_tmin.c_Apr,mean_vp.pa_Apr,sum_prcp.mm_Apr,mean_dayl.s_May,mean_srad.wm2_May,mean_tmax.c_May,mean_tmin.c_May,mean_vp.pa_May,sum_prcp.mm_May,mean_dayl.s_Jun,mean_srad.wm2_Jun,mean_tmax.c_Jun,mean_tmin.c_Jun,mean_vp.pa_Jun,sum_prcp.mm_Jun,mean_dayl.s_Jul,mean_srad.wm2_Jul,mean_tmax.c_Jul,mean_tmin.c_Jul,mean_vp.pa_Jul,sum_prcp.mm_Jul,mean_dayl.s_Aug,mean_srad.wm2_Aug,mean_tmax.c_Aug,mean_tmin.c_Aug,mean_vp.pa_Aug,sum_prcp.mm_Aug,mean_dayl.s_Sep,mean_srad.wm2_Sep,mean_tmax.c_Sep,mean_tmin.c_Sep,mean_vp.pa_Sep,sum_prcp.mm_Sep,mean_dayl.s_Oct,mean_srad.wm2_Oct,mean_tmax.c_Oct,mean_tmin.c_Oct,mean_vp.pa_Oct,sum_prcp.mm_Oct,mean_dayl.s_Nov,mean_srad.wm2_Nov,mean_tmax.c_Nov,mean_tmin.c_Nov,mean_vp.pa_Nov,sum_prcp.mm_Nov,mean_dayl.s_Dec,mean_srad.wm2_Dec,mean_tmax.c_Dec,mean_tmin.c_Dec,mean_vp.pa_Dec,sum_prcp.mm_Dec
1980,"Coolidge, AZ",32.1,36328.3,267.8,19.8,5.2,562.5,56,39003,334.1,22.5,6.4,846.6,54.7,42576.4,407.6,23,6.2,918.9,42.9,46317.4,487,29.9,8.8,915.9,9.4,49418.5,513.5,33,12,762.9,3.4,50914.8,541.5,42,17.5,773.4,0,50103.4,457.3,42.9,24.4,1194.1,5.9,47337.8,468.1,40.5,22.8,1094.6,2.9,43699.5,451.4,38.7,18.8,836.7,4.2,39968,382.7,32.3,12,552,0,36897,317.7,26.2,6,349.3,0,35479.3,282.7,24,4.9,325.5,4.7
1980,"Fabens, TX",29.6,36720.9,312.8,17,-0.2,262.3,9.7,39240,376.8,18.8,1.9,273.9,11.9,42611.4,463.8,21.5,3,272.5,5,46141.8,494.4,26.1,6.5,364.3,8.6,49064.4,529.1,30.9,12.1,530.1,0,50472,517.4,39.9,19.5,875.7,0,49708.9,481.7,38.8,21.6,997.8,12.1,47104.1,450.6,34.4,19.2,860.8,38.8,43671.5,385.8,30.7,16.3,1368.1,124.6,40150,380.2,24.1,7.6,1083.6,13.8,37256.1,309.7,18.6,1.2,690.4,13.1,35922.6,301.2,17.8,-0.6,528.9,0
1980,"Florence, SC",26.1,36000.3,227.7,12.3,2.2,727.8,122.5,38805.4,349.1,12.4,-1.4,596.3,58.6,42547.3,323.2,16.8,4.7,921.3,228,46463.7,445.8,24.9,10,1271.2,59.6,49714.2,411.1,28.8,14.1,1644.4,96.2,51285.1,397.9,31.3,18.2,2111.5,63.8,50433,403.3,34.6,21.2,2483.8,78.2,47532.6,383.8,34.4,20.5,2422.3,109,43722.9,327.8,31.8,19.4,2268.3,125.3,39816.3,327.4,23,9,1197.5,44.1,36597.2,257,17.7,3.9,838.3,47.3,35108.7,232.4,13.8,-0.3,627.2,58.9
1980,"Jackson, TN",28.5,35595.9,208.9,8.7,-0,626.7,95.6,38562.2,313.1,7.5,-3.6,506.6,60.2,42511.5,327,13.3,1.6,736.7,234.3,46643.5,401.9,20.7,7.4,1051.2,153.3,50078.5,403.5,26.3,13.5,1590.6,56.7,51742.1,411.2,30.8,18.1,2117.1,157.6,50839.3,401.9,35.5,22.2,2685.7,63.5,47772.3,399.1,35.1,20.9,2494.7,15.7,43751.5,302.5,30.4,17.4,2026.6,128.1,39629.7,331.9,21.7,6.5,1025.3,87.6,36227.7,217.9,15.2,3,786.9,111.9,34651.4,230.5,10.8,-1.3,603.4,30.9
1980,"Lamesa, TX",26.9,36389.7,271.5,12.5,-1.4,432.2,21.6,39040,382.7,16.1,-0.8,375.2,4.6,42581.9,465.4,21,1.2,249.6,0,46290,485.1,25,5.6,343.8,33.7,49363.2,462.2,29,13,923.8,95.7,50845.6,456.8,36.1,19.5,1850,37.9,50041.8,449.1,37.5,20.9,2044.7,0,47301.3,442.2,34.6,19.8,1307.4,24.1,43695.1,361.1,29.1,16.8,1273.4,231,39996.4,385.9,24.2,8.4,1150.9,2.1,36953.1,273.7,16,1.2,706.1,23.9,35548.6,281.8,15.9,0,612.2,13.8
1980,"Mangum, OK",26.8,35808.2,244.6,9.6,-2.1,500.2,31.8,38689.8,362.6,13.4,-2.8,443.8,9.5,42530.3,396.6,18,0.9,446,42.5,46549.2,452.1,24,6.6,672.8,52.3,49887.3,399.2,27.3,13.3,1438.8,301.5,51502.2,429.7,36.1,20.8,2477.1,18.2,50626,411.7,40.2,23.4,2888.8,0,47646.6,389.6,37.9,22.7,2437.6,21.3,43736.5,385.8,31.9,18,914.6,35.2,39727.5,375.2,25.9,7.9,722.5,13.3,36421.6,252.7,17.8,2.1,673.9,16,34891.5,250.5,14.4,-0.9,600.9,32.2
1980,"Marana, AZ",28.3,36465.8,272.1,19.8,5.2,534,43.6,39086,337.9,22.2,6.6,820.2,54.8,42588.7,408,22.6,6.5,869.1,23.6,46255.9,484.9,28.8,9.2,851.8,17.4,49294.5,515.9,31.7,12.4,691.8,0,50759.6,520.9,40.9,18.5,828.7,19.1,49965.2,434.6,40.9,24.3,1206,38.7,47256,416.9,38.5,22.4,1916.9,83.6,43689.7,394.2,37.2,19.1,2078.2,40.9,40031.7,342.8,30.7,12.7,1532.3,10.1,37022.8,310.6,25.6,6.4,866.1,0,35634.6,282.4,24,5.4,571,5.9
1980,"Marianna, AR",25.7,35840.4,219,9.8,0.8,666.4,103.6,38709.2,333.9,8.9,-1.8,572.5,34.6,42533.1,324.3,14.7,3.3,811.6,271.6,46534.8,417.8,21.8,9.1,1181.7,127,49858.3,395.1,27.2,15.6,1802.3,131,51465.7,412.1,32.5,20.2,2412,135.4,50593.6,402.2,36.9,23.2,2859.4,184.5,47627.4,400.2,35.7,21.9,2646.4,0,43734.2,326.4,31.7,18.6,2175.9,137.4,39742.4,337.4,22.9,8.4,1154.3,81.6,36451.1,229,16,4.4,870.9,158,34928,241.2,11.3,0.1,663.7,23.4
1980,"Maricopa, AZ",24.8,36297.5,274.8,19.6,5.2,402.3,22.5,38984.4,344.9,22.4,6.6,562.8,35.3,42573.7,417.5,22.9,6.5,692.7,27,46331.1,493.7,29.6,8.9,594.5,12.4,49446.3,504.1,32.5,12.9,683,3.9,50949.6,529.5,41.7,18.6,839.6,0,50134.3,451.7,42.9,25.4,1273.4,0,47356.1,458,40.2,23.9,1177.8,0,43701.7,451,38.4,19.2,861.9,2.2,39953.7,381.9,31.8,11.7,537.2,0,36868.8,314.5,25.4,5.8,338.6,0,35444.5,286.4,23.9,4.2,308,0.8
1980,"Milan, TN",26.9,35513.1,206.3,8.1,-0.7,592.7,73.2,38512.5,317.3,6.7,-4.2,485.3,67,42504.2,329.5,12.8,0.9,699.7,198.7,46680.3,392.6,20.2,7.2,1039.5,135.3,50153.1,406.7,26.1,13,1543.6,60.4,51835.7,407.2,30.7,17.9,2095.4,155.4,50922.5,398,35.3,21.7,2627.5,64.3,47821.3,398.6,35.1,20.8,2472.8,13.5,43757.4,308.8,30.1,16.9,1969.6,113.5,39591.6,325.4,21.3,6.2,999.9,96.1,36152.1,219.9,14.9,2.6,764.4,111.3,34557.7,224.3,10.2,-1.6,594.3,38.3
1980,"Pecos, TX",24.2,36735.7,290.5,16.9,-0.4,466,14.5,39249,387.9,19.9,0.5,365.4,4.8,42612.8,466.2,24.2,3.2,287.1,0,46135.2,501.9,27.7,6,351.9,10.8,49051,487.6,32.2,13.6,603.5,37.8,50455.2,473,39.6,20.7,1426.8,58.6,49694,460.9,39.6,22.1,1667.2,0,47095.3,443.3,36.6,20.5,1378.1,28.5,43670.4,370.7,31.6,17.7,1230,198.9,40156.9,390.3,25.7,8.6,1165.6,5.5,37269.6,288.7,18.2,1.7,718.9,37.9,35939.3,283.5,17.9,0.5,631.3,6.4
1980,"Phoenix, AZ",29.3,36204.6,259.7,19.5,7,596,48.4,38928.4,320.2,22.3,8.3,919.5,58.8,42565.4,402.1,22.6,7.7,981.8,28.4,46372.6,467.7,29.1,10.9,1003.5,12.7,49530.1,494.3,31.8,14.3,859,0,51054.5,514.8,40.5,19.9,910.1,0,50227.7,445.8,42.3,25.6,1292.7,5.9,47411.3,453.6,39.6,24.1,1181.2,6.3,43708.3,442.9,38,20.1,906.4,5,39910.7,368.8,31.9,13.8,615.5,0,36783.9,312.3,25.8,7.2,375.1,0,35339.5,273.4,23.9,6.4,370.6,2
1980,"Rocky Mount, NC",25.7,35496.5,219.2,9.6,-0.4,604.8,106.8,38502.5,335.2,9.6,-3.7,508.8,53.4,42502.7,351.6,14.8,2.4,783.8,153.7,46687.7,434.8,23.6,8.5,1148.9,64.7,50168.1,400.4,27.2,13.2,1576.1,98.4,51854.5,416.7,30.1,16.2,1870.5,57.9,50939.3,394.1,33.2,20,2340.4,76.3,47831.1,392.6,33.8,19.8,2324,59.1,43758.6,326,30.1,17.6,2059.5,110,39583.9,303.3,20.7,7.9,1112.2,92.8,36136.9,246.7,15.5,1.9,727.9,70.3,34538.9,221.6,11.5,-1.6,575.4,52
1980,"Safford, AZ",31.1,36359,279.3,16.3,0.8,396.7,24.6,39021.5,338.5,18.9,2.6,603.9,62.8,42579.2,428.9,20.4,2.6,612.6,13.6,46303.7,503.7,26.4,5.1,553.8,0.9,49390.8,525.9,29.9,9.6,498.3,0,50880.2,538.9,39.2,15.6,687.6,0,50072.5,457.4,38.9,20.6,934.6,24.8,47319.5,465,35.6,18.5,819.2,17.7,43697.3,441.7,34.3,14.9,847.2,25.8,39982.2,380.9,27,7.4,589.8,3.1,36925.1,314.1,21,1.2,439.6,14.1,35514,293,19.4,-0.5,269.9,3.7
1980,"Stoneville, MS",25.5,36204.6,223.3,11.3,2.6,760.2,122,38928.4,342.9,11.8,0.4,683,78.1,42565.4,318.5,16.2,4.9,913.5,304.3,46372.6,417.4,22.5,10.2,1276.9,201.8,49530.1,378.5,27.7,16.5,1909.2,159,51054.5,410.9,33.6,21.1,2537.6,60.7,50227.7,390.3,36.6,23.5,2902.9,111.9,47411.3,401.4,35.5,22.1,2628.2,18.7,43708.3,341.1,32.4,19.5,2283.3,107.6,39910.7,340.4,23.8,9,1199.7,98.7,36783.9,233.7,16.8,5.4,930.1,82.6,35339.5,253.6,13,1.1,702.2,16.3
1980,"Tifton, GA",26.7,36735.7,246,16.2,4.8,892.2,145.9,39249,353.4,15.9,2.6,820.8,49.9,42612.8,344,20.7,8.2,1150,272.1,46135.2,414.3,24.9,11.8,1411,158.2,49051,394.9,28.8,16.7,1914.1,94.7,50455.2,407.3,32.4,19.8,2325.9,58.3,49694,399.5,34.5,22.1,2650.6,50.2,47095.3,407.7,34.4,21.3,2399.2,53,43670.4,341.9,32.5,19.9,2301.2,104.1,40156.9,328.5,24.9,11.6,1402.6,72.6,37269.6,289.8,20.2,6.5,1013.7,22.9,35939.3,248.4,16.1,2.3,739.1,31.2
1980,"W Side Field Station, CA",24.7,35379.2,223.6,14.2,5.5,780.3,85.9,38432.2,302.9,17.8,6.3,962.8,82.8,42492.4,391,18.2,4.9,872.2,37.7,46739.7,436.4,24,8,983.6,4.4,50273.7,482.6,26.8,10.1,741.5,6.1,51987.2,509.8,31,12.4,542.2,0,51057.1,489.7,35.9,17.5,774.8,0.9,47900.5,473.9,34.5,15.7,678.3,0,43766.9,429.8,31.7,13.1,563.6,0,39529.9,353.4,29.1,9.8,461.3,0,36029.8,269.3,21.1,3.9,335.7,2.2,34406.1,213.6,15.2,1.9,416.9,6.4
1980,"Wenden, AZ",28.9,36095.1,257.7,17.5,5,600.3,80.6,38862.4,317.1,20.4,6.4,935.4,94.9,42555.7,411.3,20.5,5.4,900.3,14.5,46421.4,464.1,27,8.6,1028.4,13.7,49628.8,489.2,29.2,11.8,812.9,5.7,51178.1,529.7,38.7,17,754.8,2.8,50337.8,452.3,41.3,23.9,1165.5,7.6,47476.3,464.7,38.9,22.4,1062,11.6,43716.1,443.7,36.6,18.5,815.2,7.4,39860.1,366.8,30.6,12.4,571.6,0.2,36683.8,307.4,24.3,6.2,350.6,0,35215.8,273,22.2,4.8,340.5,2.6
1981,"Artesia, NM",27.9,36359,291.1,13.1,-2.2,258.4,12.4,38964.9,389.9,18.2,-2.4,209.7,5.2,42455.3,419.9,19.6,2.4,288.2,6.8,46186.9,476.9,26.6,7.9,404.5,19.6,49309.4,494.1,29.4,11.8,630.3,48.4,50866.6,494.7,35.5,16.6,849.3,26,50133.8,435.5,34.8,19.1,1654.7,68.8,47428.3,419.2,31.7,17.1,1700.4,92.9,43821.4,391.6,28.9,13.4,1548.1,84.8,40098.2,338.2,23.8,8,1117.7,33.3,37004.9,323.5,22.5,1.8,706.1,2.1,35526.5,290.7,18.4,-2.1,426.6,0
1981,"Auburn, AL",28.3,36420.2,289.9,11.2,-3.4,496.6,48.6,39002.3,327.7,15.4,0.9,713.9,198.9,42461.8,393.4,18.8,3,784.4,264,46160.6,412.5,26.1,11.1,1339.1,64.6,49255,432.3,26.3,11.8,1409.6,107.4,50797.7,407.7,33,20,2351.3,61.7,50071.7,390.4,33.5,20.6,2419.6,92.4,47390.9,353.8,30.2,19.5,2266.2,103,43815.9,428.3,29.7,15.1,1765.8,40.2,40125.5,305.9,22.6,9.2,1190.9,71,37060.1,292.8,20.1,4.8,909.7,39.8,35595.4,202.1,11.3,0.1,652.6,190.6
1981,"Belle Mina, AL",27,35872.6,270.9,8.6,-4.5,464,37.5,38667.9,321.7,13.6,-0.3,667.1,90.3,42403.5,369.1,16.6,2.1,741.2,124.7,46395.6,391,25.5,11.9,1426.4,83.2,49741.9,411.7,25.2,12,1433.3,93.2,51414.7,392.1,31.8,19.3,2259.6,83.8,50627.1,393.5,33,20.5,2420.7,74.5,47724.9,361.8,31.1,18.9,2193.2,177.6,43864.6,405.9,28,13.2,1581.8,29.4,39881.5,285,21.7,8.6,1155.7,99.1,36566.2,262,18.1,3.9,848.8,125,34977.8,215.2,9.6,-1.1,588.7,81.5
1981,"Bossier City, LA",27.6,36450.6,265.9,13.4,-0.9,586.3,56.8,39020.9,327.1,16.4,2,764.7,82.1,42465.1,387.1,20.2,5.4,922,94.7,46147.6,383.9,27.7,14.1,1652.3,70.7,49227.9,387.9,26.6,14.3,1676.5,209.4,50763.4,384,32.4,21.2,2539.6,159.5,50040.9,383.2,34.1,22.8,2773.5,74.3,47372.3,392.6,33.7,20.9,2485.8,101.8,43813.2,405,30.3,15.9,1862.1,64,40139.1,282.8,24,11.8,1480.5,210.2,37087.6,292.2,21.5,6.1,974.1,35.8,35629.8,245.5,14.8,1,683.7,17
1981,"Chillicothe, TX",26.1,35984.4,274.2,13.5,-2.2,378.2,1.7,38736.1,340.2,16.2,-0.5,289.9,18,42415.4,379.3,19.3,5.3,483.7,42.5,46347.7,412.3,27.1,12.2,1039.7,97.2,49642.5,426.1,28.3,13.7,1535.7,121.2,51288.7,403.5,34,20.1,2380.2,104.4,50513.7,403.2,37.6,23.2,2861.5,36.2,47656.7,395.9,35.2,20.4,2408.6,54.3,43854.7,400.9,32.7,17.1,1568.1,16.4,39931.2,296.3,23.7,11,1363.6,84.1,36667,290.3,20,4.1,831.5,18.4,35104,247.8,14.2,-0.7,599.8,4.8
1981,"College Station, TX",27.2,36941.2,280.7,15.7,3,773.5,73.8,39321.4,323.1,17.7,5.4,967.6,45.5,42517.6,383.8,20.8,8.9,1155.9,67.2,45936.3,391.6,27.7,16.5,1833.2,31.5,48791.3,423.2,28.5,17.2,1938.2,120.8,50211.3,350.4,32.1,22.3,2695,283.7,49543.5,409.6,34.2,23,2810.4,65.8,47072.3,407.7,35.3,22,2649.7,62.5,43769.4,387.4,31.4,18.2,2133.5,87.9,40358.6,283.9,26.5,15.4,1855.9,230.8,37530.4,298.1,23.3,9.9,1253,44.1,36182.3,261.7,17.3,4.5,884.8,11.4
1981,"Dallas, TX",27,36389.7,263.6,13.8,1.2,674.9,27.8,38983.6,327.6,16.5,3.3,706.1,42.1,42458.6,375.4,19.9,7.8,999.3,88.6,46173.8,386.4,27.1,15.3,1736,62.7,49282.1,400.6,27.3,15.8,1831.1,194.8,50832.1,368.9,32.2,21.8,2627.9,235.7,50102.7,404.9,35.6,23.9,2970.6,93.6,47409.6,390.9,35.1,22.3,2716.5,48.9,43818.7,375.2,31.4,18.3,2155.1,86.8,40111.9,280.7,24.6,13.8,1662.6,293.5,37032.5,291.1,21,7.7,1071.7,38.2,35561,251,14.9,2.5,766.7,4.8
1981,"El Paso, TX",24.8,36646.5,292,14.1,0.8,378.9,26.6,39140.8,388.7,19.8,1.4,360.3,9.6,42486,426.2,20.7,4.8,391.2,9.2,46063.3,471.2,27.2,10.3,498.9,22.9,49053.6,508.4,30.9,14.2,648.9,25.6,50542.8,496,37.2,19.1,876.3,7.1,49842.2,462.4,36.7,21.1,1026.7,45.7,47252.6,433.6,33.3,18.5,1492.2,80.8,43795.7,417.8,31.4,15.6,1596.3,15.8,40226.7,359.9,26.3,10.1,1244.6,16.8,37264.4,334.5,23.1,2.6,493.1,8.8,35850.5,301.1,18.6,-0.3,307.7,1.3
1981,"Florence, SC",27.9,36000.3,268.8,10.5,-4,476.6,38.5,38745.8,321.3,15.9,0.9,699.5,66.8,42417.1,383.2,18.7,2.6,765.7,65.7,46340.9,418.2,27.5,11.4,1341.7,40.6,49628.4,419.3,28.1,12.7,1426.3,140.5,51270.8,379.1,34.1,20.9,2500.8,72.2,50497.6,350.1,32.6,21,2495.3,221.8,47647.1,344.2,29.7,19.6,2291.5,211.2,43853.3,423.4,29.4,14.6,1720.6,3.7,39938.3,317.6,23.8,8.1,1111.9,124.3,36681.3,270.1,19.2,3.7,840.1,31.2,35121.9,200.8,12.2,0.3,666.6,163.8
1981,"Halfway, TX",26.2,36000.3,289.6,12.4,-3.6,350.2,7.6,38745.8,354,15.4,-3.4,248.2,8.4,42417.1,390.4,16.6,2,303.7,24.8,46340.9,439.9,24.6,8.1,616.7,49.9,49628.4,479.4,26.7,10.7,751.7,21.8,51270.8,468.4,33.4,16.7,1101.4,18.5,50497.6,436.3,33.4,18.9,1255.5,90.1,47647.1,396.7,29.8,17.2,1885.6,146.7,43853.3,384.1,27.3,13.6,1575.1,50.8,39938.3,307.3,20.7,8.1,1131.1,90.1,36681.3,295.4,18.6,2.3,734,18.4,35121.9,260.5,13.5,-2.6,521.3,2.6
1981,"Jackson, TN",30.4,35595.9,274,7.4,-4.6,456.7,68.3,38499.3,323.7,12.4,-1.2,635.6,74.4,42374.1,360.1,16,2.2,755.7,105.3,46513.9,375.5,25,12.2,1465.6,70.8,49987.7,381.8,24.1,12.2,1454.2,159.5,51726.9,381.6,31.2,20,2354.1,138,50907.7,366.9,32.3,21.1,2513.6,141.4,47893.2,368.3,30.5,19.2,2230.5,100.9,43889.1,400.1,27.7,13.5,1600.6,42.1,39758.5,293.1,21.4,8.2,1149.4,115,36316.8,244.2,17.5,4,855.6,74.1,34665.4,216.8,9,-2.1,549.4,67.5
